Airport Origin,Airport Destination,USD,GHG
JFK,LAX,158,458
JFK,ORD,113,108
JFK,MIA,129,141
JFK,SFO,144,520
JFK,IAD,203,61
JFK,ATL,142,104
JFK,SEA,227,237
JFK,MCO,129,121
JFK,BOS,84,67
JFK,LAS,189,307
JFK,DFW,164,176
JFK,LGB,NA,NA
JFK,FLL,99,149
JFK,SJC,385,314
JFK,PDX,179,216
JFK,PVD,NA,NA
JFK,CLT,269,84
LAX,JFK,158,450
LAX,ORD,220,173
LAX,MIA,124,202
LAX,SFO,139,75
LAX,IAD,124,227
LAX,ATL,240,218
LAX,SEA,188,156
LAX,MCO,148,237
LAX,BOS,302,381
LAX,LAS,75,50
LAX,DFW,170,145
LAX,LGB,NA,NA
LAX,FLL,114,306
LAX,SJC,99,99
LAX,PDX,109,121
LAX,PVD,254,262
LAX,CLT,397,225
ORD,JFK,84,103
ORD,MIA,175,132
ORD,SFO,141,217
ORD,IAD,104,93
ORD,ATL,161,90
ORD,SEA,157,188
ORD,MCO,165,100
ORD,BOS,199,105
ORD,LAS,193,155
ORD,DFW,183,102
ORD,LAX,220,176
ORD,LGB,NA,NA
ORD,FLL,251,130
ORD,SJC,205,192
ORD,PDX,179,183
ORD,PVD,380,112
ORD,CLT,134,94
MIA,JFK,99,100
MIA,ORD,176,127
MIA,SFO,157,219
MIA,IAD,163,120
MIA,ATL,110,109
MIA,SEA,439,246
MIA,MCO,289,48
MIA,BOS,194,133
MIA,LAS,159,189
MIA,DFW,176,136
MIA,LAX,124,319
MIA,LGB,NA,NA
MIA,FLL,NA,NA
MIA,SJC,NA,NA
MIA,PDX,158,320
MIA,PVD,NA,NA
MIA,CLT,269,86
SFO,JFK,154,503
SFO,ORD,167,190
SFO,MIA,232,213
SFO,IAD,209,282
SFO,ATL,299,195
SFO,SEA,74,94
SFO,MCO,319,212
SFO,BOS,332,244
SFO,LAS,117,69
SFO,DFW,169,172
SFO,LAX,104,73
SFO,LGB,NA,NA
SFO,FLL,243,341
SFO,SJC,NA,NA
SFO,PDX,109,100
SFO,PVD,NA,NA
SFO,CLT,342,252
IAD,JFK,149,58
IAD,ORD,147,91
IAD,MIA,191,124
IAD,SFO,296,259
IAD,ATL,104,86
IAD,SEA,376,213
IAD,MCO,119,95
IAD,BOS,114,63
IAD,LAS,384,220
IAD,DFW,154,139
IAD,LAX,219,237
IAD,LGB,NA,NA
IAD,FLL,207,121
IAD,SJC,NA,NA
IAD,PDX,262,283
IAD,PVD,262,84
IAD,CLT,159,87
ATL,JFK,142,143
ATL,ORD,161,105
ATL,MIA,75,110
ATL,SFO,299,219
ATL,IAD,104,72
ATL,SEA,189,232
ATL,MCO,214,59
ATL,BOS,254,87
ATL,LAS,294,193
ATL,DFW,161,101
ATL,LAX,234,215
ATL,LGB,NA,NA
ATL,FLL,99,110
ATL,SJC,299,212
ATL,PDX,269,238
ATL,PVD,219,112
ATL,CLT,219,63
SEA,JFK,154,233
SEA,ORD,99,188
SEA,MIA,339,311
SEA,SFO,74,114
SEA,IAD,169,231
SEA,ATL,189,228
SEA,MCO,189,263
SEA,BOS,179,247
SEA,LAS,99,121
SEA,DFW,159,196
SEA,LAX,114,153
SEA,LGB,NA,NA
SEA,FLL,294,267
SEA,SJC,92,117
SEA,PDX,99,57
SEA,PVD,NA,NA
SEA,CLT,387,255
MCO,JFK,194,124
MCO,ORD,165,100
MCO,MIA,119,74
MCO,SFO,296,210
MCO,IAD,172,92
MCO,ATL,169,85
MCO,SEA,429,247
MCO,BOS,169,137
MCO,LAS,464,163
MCO,DFW,339,117
MCO,LAX,299,219
MCO,LGB,NA,NA
MCO,FLL,120,50
MCO,SJC,NA,NA
MCO,PDX,199,263
MCO,PVD,198,123
MCO,CLT,267,73
BOS,JFK,224,70
BOS,ORD,359,139
BOS,MIA,484,150
BOS,SFO,439,354
BOS,IAD,219,69
BOS,ATL,304,118
BOS,SEA,399,388
BOS,MCO,404,140
BOS,LAS,503,196
BOS,DFW,364,159
BOS,LAX,504,354
BOS,LGB,NA,NA
BOS,FLL,424,167
BOS,SJC,NA,NA
BOS,PDX,394,220
BOS,PVD,NA,NA
BOS,CLT,254,129
LAS,JFK,249,207
LAS,ORD,193,154
LAS,MIA,194,187
LAS,SFO,70,58
LAS,IAD,162,180
LAS,ATL,294,159
LAS,SEA,99,113
LAS,MCO,464,162
LAS,BOS,514,221
LAS,DFW,176,128
LAS,LAX,59,78
LAS,LGB,229,63
LAS,FLL,220,167
LAS,SJC,219,74
LAS,PDX,77,108
LAS,PVD,NA,NA
LAS,CLT,249,210
DFW,JFK,164,148
DFW,ORD,183,104
DFW,MIA,176,135
DFW,SFO,209,166
DFW,IAD,154,145
DFW,ATL,161,101
DFW,SEA,179,185
DFW,MCO,339,119
DFW,BOS,279,158
DFW,LAS,176,127
DFW,LAX,170,118
DFW,LGB,NA,NA
DFW,FLL,298,134
DFW,SJC,209,158
DFW,PDX,199,179
DFW,PVD,NA,NA
DFW,CLT,151,121
LGB,JFK,NA,NA
LGB,ORD,NA,NA
LGB,MIA,NA,NA
LGB,SFO,NA,NA
LGB,IAD,NA,NA
LGB,ATL,NA,NA
LGB,SEA,NA,NA
LGB,MCO,NA,NA
LGB,BOS,NA,NA
LGB,LAS,239,58
LGB,LAX,NA,NA
LGB,DFW,NA,NA
LGB,FLL,NA,NA
LGB	FLL	NA,NA
LGB,PDX,NA,NA
LGB,PVD,NA,NA
LGB,CLT,NA,NA
FLL,JFK,109,139
FLL,ORD,141,128
FLL,MIA,NA,NA
FLL,SFO,202,220
FLL,IAD,108,109
FLL,ATL,69,108
FLL,SEA,349,267
FLL,MCO,86,39
FLL,BOS,114,144
FLL,LAS,224,234
FLL,LAX,224,232
FLL,DFW,176,135
FLL,LGB,NA,NA
FLL,SJC,NA,NA
FLL,PDX,NA,NA
FLL,PVD,184,141
FLL,CLT,263,92
SJC,JFK,244,252
SJC,ORD,205,190
SJC,MIA,NA,NA
SJC,SFO,NA,NA
SJC,IAD,NA,NA
SJC,ATL,349,207
SJC,SEA,169,117
SJC,MCO,NA,NA
SJC,BOS,NA,NA
SJC,LAS,365,50
SJC,LAX,99,93
SJC,DFW,209,160
SJC,LGB,200,99
SJC,FLL,NA,NA
SJC,PDX,119,117
SJC,PVD,NA,NA
SJC,CLT,NA,NA
PDX,JFK,219,221
PDX,ORD,179,192
PDX,MIA,323,240
PDX,SFO,109,70
PDX,IAD,219,240
PDX,ATL,269,221
PDX,SEA,99,41
PDX,MCO,178,265
PDX,BOS,999,252
PDX,LAS,159,89
PDX,LAX,109,124
PDX,DFW,179,183
PDX,LGB,NA,NA
PDX,FLL,394,278
PDX,SJC,119,115
PDX,PVD,NA,NA
PDX,CLT,387,243
PVD,JFK,NA,NA
PVD,ORD,380,135
PVD,MIA,NA,NA
PVD,SFO,NA,NA
PVD,IAD,339,84
PVD,ATL,364,121
PVD,SEA,NA,NA
PVD,MCO,394,123
PVD,BOS,NA,NA
PVD,LAS,NA,NA
PVD,LAX,NA,NA
PVD,DFW,NA,NA
PVD,LGB,NA,NA
PVD,FLL,534,153
PVD,SJC,NA,NA
PVD,PDX,NA,NA
PVD,CLT,292,123
CLT,JFK,268,82
CLT,ORD,133,85
CLT,MIA,268,88
CLT,SFO,341,259
CLT,IAD,128,77
CLT,ATL,218,72
CLT,SEA,386,207
CLT,MCO,266,75
CLT,BOS,133,97
CLT,LAS,298,174
CLT,LAX,396,233
CLT,DFW,150,123
CLT,LGB,NA,NA
CLT,FLL,97,76
CLT,SJC,NA,NA
CLT,PDX,386,248
CLT,PVD,262,129
